listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
25351694,01/11/2024,29,1,0.033,74,73.1,74,1,1,,9546,9430,9546
38698555,01/12/2024,31,0,0,0,24.7,,,,,,3199,0
25351694,01/06/2025,25,5,0.167,444,87.3,88.8,7,2,1,11473,11279,57366
20040341,01/02/2025,5,23,0.821,1315,56.4,57.2,2,9,3,7388,7285,169855
38698555,01/08/2025,23,8,0.258,169,22.6,21.1,29,2,1,2726,2920,21835
25351694,01/12/2024,10,21,0.677,1586,76.2,75.5,13,7,1,9778,9868,205397
38698555,01/03/2025,31,0,0,0,26.4,,,,1,,3393,0
38698555,01/05/2025,31,0,0,0,21.5,,,,1,,2792,0
20040341,01/10/2024,14,17,0.548,963,58.1,56.6,13,10,,7301,7495,124227
25351694,01/01/2025,21,10,0.323,736,74.4,73.6,1,3,1,9507,9610,95069
25351694,01/08/2025,25,6,0.194,450,77.5,75,11,5,1,9690,10013,58142
38698555,01/02/2025,28,0,0,0,28.9,,,,1,,3733,0
25351694,01/09/2024,25,5,0.167,347,71.3,69.4,8,6,,8965,9211,44825
20040341,01/03/2025,23,8,0.258,433,53.4,54.1,,,3,6952,6862,55642
38698555,01/10/2024,29,2,0.065,52,26.2,26,4,2,,3354,3380,6708
20040341,01/05/2025,26,5,0.161,251,51.9,50.2,1,2,3,6518,6739,32590
25351694,01/07/2025,20,11,0.355,865,78.6,78.6,7,3,1,10155,10155,111761
25351694,01/05/2025,26,5,0.161,379,77.4,75.8,1,3,1,9842,10050,49209
25351694,01/02/2025,24,4,0.143,307,75.9,76.8,1,4,1,9920,9804,39654
25351694,01/10/2024,30,1,0.032,76,72.7,76,,,,9804,9378,9804
20040341,01/01/2025,23,8,0.258,451,57.3,56.4,44,28,3,7285,7401,58256
20040341,01/09/2024,7,23,0.767,1181,51.2,51.3,24,9,,6627,6614,152561
38698555,01/01/2025,31,0,0,0,29.5,,,,1,,3811,0
38698555,01/09/2024,30,0,0,0,25.9,,,,,,3346,0
38698555,01/07/2025,12,19,0.613,344,19.1,18.1,2,18,1,2339,2468,44446
20040341,01/04/2025,30,0,0,0,56.1,,,,3,,7265,0
38698555,01/04/2025,30,0,0,0,22.6,,,,1,,2927,0
20040341,01/12/2024,13,18,0.581,967,52.8,53.7,14,10,3,6954,6838,125233
20040341,01/11/2024,12,18,0.6,1087,59,60.4,15,2,,7792,7611,140223
38698555,01/11/2024,30,0,0,0,18.8,,,,,,2425,0
25351694,01/03/2025,23,8,0.258,596,76.6,74.5,1,4,1,9574,9843,76588
38698555,01/06/2025,18,12,0.4,256,21.3,21.3,1,19,1,2752,2752,33076
